5	कृष्ट-समीकृतम्	[["1.1", "कृष्ट-", "कर्मधारयः_1,1.2"], ["1.2", "समीकृतम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
30	अहः-अतिसृता	[["1.1", "अहः-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अतिसृता", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
32	रात्रि-अतिसृताः	[["1.1", "रात्रि-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अतिसृताः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
43	नख-निर्भिन्नः	[["1.1", "नख-", "तृतीया-तत्पुरुषः,1.2"], ["1.2", "निर्भिन्नः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
48	कण्टक-संचेय	[["1.1", "कण्टक-", "तृतीया-तत्पुरुषः,1.2"], ["1.2", "संचेय", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
56	वने-कसेरुकाः	[["1.1", "वने-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "कसेरुकाः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
57	कूपे-पिशाचकाः	[["1.1", "कूपे-", "सप्तमी-तत्पुरुषः,1.2"], ["1.2", "पिशाचकाः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
65	मातृ-सदृशः	[["1.1", "मातृ-", "तृतीया-तत्पुरुषः,1.2"], ["1.2", "सदृशः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
101	युव-जरन्	[["1.1", "युव-", "कर्मधारयः_2,1.2"], ["1.2", "जरन्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
102	युव-जरती	[["1.1", "युव-", "कर्मधारयः_2,1.2"], ["1.2", "जरती", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
130	कतर-कालापः	[["1.1", "कतर-", "कर्मधारयः_1,1.2"], ["1.2", "कालापः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
132	कतम-कालापः	[["1.1", "कतम-", "कर्मधारयः_1,1.2"], ["1.2", "कालापः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
149	मयूर-व्यंसकः	[["1.1", "मयूर-", "तत्पुरुषः,1.2"], ["1.2", "व्यंसकः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
150	छात्र-व्यंसकः	[["1.1", "छात्र-", "तत्पुरुषः,1.2"], ["1.2", "व्यंसकः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
154	पुट-अ-पुटिका	[["1.1", "पुट-", "कर्मधारयः_2,1.2"], ["1.2", "अ-", "कर्मधारयः_2,1.3"], ["1.3", "पुटिका", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
155	फल-अ-फलिका	[["1.1", "फल-", "कर्मधारयः_2,1.2"], ["1.2", "अ-", "कर्मधारयः_2,1.3"], ["1.3", "फलिका", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
156	मान-उन्मानिका	[["1.1", "मान-", "कर्मधारयः_2,1.2"], ["1.2", "उन्मानिका", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
200	सूप-प्रति	[["1.1", "सूप-", "अव्ययीभावः_1,1.2"], ["1.2", "प्रति", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
201	अक्ष-परि	[["1.1", "अक्ष-", "अव्ययीभावः_2,1.2"], ["1.2", "परि", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
202	एक-परि	[["1.1", "एक-", "अव्ययीभावः_2,1.2"], ["1.2", "परि", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
211	तिष्ठद्-गु	[["1.1", "तिष्ठद्-", "अव्ययीभावः_3,1.2"], ["1.2", "गु", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
213	मध्ये-गङ्गम्	[["1.1", "मध्ये-", "अव्ययीभावः_7,1.2"], ["1.2", "गङ्गम्", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]
