1	अर्द्ध-पिप्पली	[["1.1", "अर्द्ध-", "प्रथमा-तत्पुरुषः,1.2"], ["1.2", "पिप्पली", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "अर्द्ध-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "पिप्पली", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0
2	अर्द्ध-कोशातकी	[["1.1", "अर्द्ध-", "प्रथमा-तत्पुरुषः,1.2"], ["1.2", "कोशातकी", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "अर्द्ध-", "षष्ठी-तत्पुरुषः,1.2"], ["1.2", "कोशातकी", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	0.0	1.0	0.0
3	कष्ट-श्रितः	[["1.1", "कष्ट-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "कष्ट-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
4	नरक-श्रितः	[["1.1", "नरक-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "नरक-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "श्रितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
5	कान्तार-अतीतः	[["1.1", "कान्तार-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अतीतः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "कान्तार-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अतीतः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
6	नरक-पतितः	[["1.1", "नरक-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "नरक-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "पतितः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
7	ग्राम-गतः	[["1.1", "ग्राम-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "गतः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "ग्राम-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "गतः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
8	तरङ्ग-अत्यस्तः	[["1.1", "तरङ्ग-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "तरङ्ग-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
9	तुहिन-अत्यस्तः	[["1.1", "तुहिन-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "तुहिन-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "अत्यस्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
10	सुख-प्राप्तः	[["1.1", "सुख-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "प्राप्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "-,-"]]	Success	[["1.1", "सुख-", "द्वितीया-तत्पुरुषः,1.2"], ["1.2", "प्राप्तः", "कर्ता,2.1"], ["2.1", "अस्ति", "अभिहित_कर्ता,1.2"], ["3.1", ".", "-,-"]]	1.0	1.0	1.0
