anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	अन्-	1.1	अनुद्वेगकरं	अन्	न	नञ्-तत्पुरुषः,1.2	नञ्-तत्पुरुषः,1.2	उद्वेग_न_करनेवाला	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09724	17	015	1	#FFFF00	assets/graphs/17_015_1.svg
1.2	उद्वेग-	1.2	-	{अव्य}	उद्वेग	षष्ठी-तत्पुरुषः,1.3	षष्ठी-तत्पुरुषः,1.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09725	17	015	1	#FFFF00	assets/graphs/17_015_1.svg
1.3	करम्	1.3	-	उद्वेग	कर{नपुं}{1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09726	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
2.1	वाक्यम्	6	वाक्यं	वाक्य{नपुं}{1;एक}/वाक्य{नपुं}{2;एक}	वाक्य{नपुं}{1;एक}	कर्ता,9.1.1	कर्ता,9.1.1	भाषण	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09727	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
3.1	सत्यम्	2	सत्यं	सत्यम्{अव्य}/सत्य{पुं}{2;एक}/सत्य{नपुं}{1;एक}/सत्य{नपुं}{2;एक}	सत्य{नपुं}{1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	यथार्थ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09728	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
4.1	प्रिय-	3.1	प्रियहितं	प्रिय	प्रिय	कर्मधारयः,4.2	कर्मधारयः,4.2	प्रिय_और_हितकारक	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09729	17	015	1	#FFFF00	assets/graphs/17_015_1.svg
4.2	हितम्	3.2	-	हित{पुं}{2;एक}/हित{नपुं}{1;एक}/हित{नपुं}{2;एक}	हित{नपुं}{1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972a	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
5.1	च	4	च	च{अव्य}	च{अव्य}	सम्बन्धः,7.3	सम्बन्धः,7.3	एवं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972b	17	015	1	#FF99FF	assets/graphs/17_015_1.svg
6.1	यत्	5	यत्	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं}{2;एक}/यत्{अव्य}	यद्{नपुं}{1;एक}	विधेय_विशेषणम्,2.1;नित्यसम्बन्धः,13.1	विधेय_विशेषणम्,2.1;नित्यसम्बन्धः,13.1	जो	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972c	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
7.1	स्व-	7.1	स्वाध्यायाभ्यसनं	स्व	स्वाध्याय	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	वेद-शास्त्रों_के_पठन_का_अभ्यास	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972d	17	015	1	#FFFF00	assets/graphs/17_015_1.svg
7.2	अध्याय-	7.2	-	अध्याय	अभ्यसन{नपुं}{1;एक}	इतरेतर-द्वन्द्वः,7.3	इतरेतर-द्वन्द्वः,7.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972e	17	015	1	#FFFF00	assets/graphs/17_015_1.svg
7.3	अभ्यसनम्	7.3	-	अभ्यसन{नपुं}{1;एक}/अभ्यसन{नपुं}{2;एक}	-	विशेषणम्,2.1	विशेषणम्,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e0972f	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
8.1	च	8	चैव	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,2.1	समुच्चय_द्योतकः,2.1	तथा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09730	17	015	1	#FF99FF	assets/graphs/17_015_1.svg
9.1	एव	11	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,7.3	सम्बन्धः,7.3	ही	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09731	17	015	1	#FF99FF	assets/graphs/17_015_1.svg
9.1.1	(अस्ति)	9	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहितकर्ता,2.1	अभिहितकर्ता,2.1	(है)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09732	17	015	1	#FF1975	assets/graphs/17_015_1.svg
10.1	वाङ्मयम्	12	वाङ्मयं	वाङ्मय{पुं}{2;एक}/वाङ्मय{नपुं}{1;एक}/वाङ्मय{नपुं}{2;एक}/वाङ्मय{पुं}{2;एक}/वाङ्मय{नपुं}{1;एक}/वाङ्मय{नपुं}{2;एक}	वाङ्मय{नपुं}{1;एक}	विशेषणम्,11.1	विशेषणम्,11.1	वाणीसम्बन्धी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09733	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
11.1	तपः	13	तप	तप{पुं}{1;एक}/तपस्{नपुं}{1;एक}/तपस्{नपुं}{2;एक}	तपस्{नपुं}{1;एक}	कर्मसमानाधिकरणम्,12.1	कर्मसमानाधिकरणम्,12.1	तप	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09734	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
12.1	उच्यते	14	उच्यते	उच्यत्{पुं}{4;एक}/उच्यत्{नपुं}{4;एक}/उच्1{भावे;लट्;प्र;एक;आत्मनेपदी;उचँ;दिवादिः}/वच्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;वचँ;अदादिः}/ब्रू1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;ब्रूञ्;अदादिः}	वच्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;वचँ;अदादिः}	अभिहितकर्म,11.1;सकर्मकः.1	अभिहितकर्म,11.1;सकर्मकः.1	कहा_जाता_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09735	17	015	1	#FF1975	assets/graphs/17_015_1.svg
13.1	(तत्)	10	(0)	(तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक})	(तद्{नपुं}{1;एक})	कर्म,12.1	कर्म,12.1	(वह)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778d956d5e31353e09736	17	015	1	#00BFFF	assets/graphs/17_015_1.svg
