anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	दृष्ट्वा	6	दृष्ट्वेमं	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	देखकर	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a59	01	028_2-029	1	#FF99FF	assets/graphs/01_028_2-029_1.svg
2.1	इमम्	4	-	इदम्{पुं;2;एक}	इदम्{पुं;2;एक}	विशेषणम्,3.2	विशेषणम्,3.1#विशेषणम्,3.2	इस	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5a	01	028_2-029	1	#93DB70	assets/graphs/01_028_2-029_1.svg
3.1	स्व-	5.1	स्वजनं	स्व	स्व	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	स्वजन_समुदाय_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5b	01	028_2-029	1	#FFFF00	assets/graphs/01_028_2-029_1.svg
3.2	जनम्	5.2	-	जन{पुं;2;एक}	जन{पुं;2;एक}	कर्म,1.1	कर्म,1.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5c	01	028_2-029	1	#93DB70	assets/graphs/01_028_2-029_1.svg
4.1	कृष्ण	1	कृष्ण	कृष्ण{पुं;8;एक}/कृष्ण{नपुं;8;एक}	कृष्ण{पुं;8;एक}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	हे_कृष्ण	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5d	01	028_2-029	1	#6FFFC3	assets/graphs/01_028_2-029_1.svg
5.1	युयुत्सुम्	3	युयुत्सुं	युयुत्सु{पुं;2;एक}	युयुत्सु{पुं;2;एक}	विशेषणम्,3.2	विशेषणम्,3.1#विशेषणम्,3.2	युद्ध_के_अभिलाषी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5e	01	028_2-029	1	#93DB70	assets/graphs/01_028_2-029_1.svg
6.1	समुपस्थितम्	2	समुपस्थितम्	समुपस्थित{पुं;2;एक}/समुपस्थित{नपुं;1;एक}/समुपस्थित{नपुं;2;एक}	सम्_उप_स्था1{कृत्_प्रत्ययः:क्त;सम्_उप_ष्ठा;भ्वादिः;पुं}{2;एक}	विशेषणम्,3.2	विशेषणम्,3.1#विशेषणम्,3.2	डटे_हुए	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a5f	01	028_2-029	1	#93DB70	assets/graphs/01_028_2-029_1.svg
7.1	सीदन्ति	9	सीदन्ति	सीदत्{नपुं;1;बहु}/सीदत्{नपुं;2;बहु}/सीदत्{नपुं;8;बहु}/सीदन्ती{स्त्री;8;एक}/सद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;भ्वादिः}/सद्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;तुदादिः}	सद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मकः.1;समुच्चितः,19.1	अभिहित_कर्ता,9.1;सकर्मकः.1;समुच्चितः,19.1	शिथिल_हुए_जा_रहे_हैं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a60	01	028_2-029	1	#FF1975	assets/graphs/01_028_2-029_1.svg
8.1	मम	7	मम	अस्मद्{6;एक}/मा1{कर्तरि;लिट्;म;बहु;परस्मैपदी;मा;अदादिः}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	मेरे	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a61	01	028_2-029	1	#87CEEB	assets/graphs/01_028_2-029_1.svg
9.1	गात्राणि	8	गात्राणि	गात्र{नपुं;1;बहु}/गात्र{नपुं;2;बहु}/गात्र{नपुं;8;बहु}	गात्र{नपुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	अंग	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a62	01	028_2-029	1	#00BFFF	assets/graphs/01_028_2-029_1.svg
10.1	मुखम्	10	मुखं	मुख{पुं;2;एक}/मुख{नपुं;1;एक}/मुख{नपुं;2;एक}	मुख{नपुं;1;एक}	कर्ता,12.1	कर्ता,12.1	मुख	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a63	01	028_2-029	1	#00BFFF	assets/graphs/01_028_2-029_1.svg
11.1	च	11	च	च{अव्य}	च{अव्य}	सम्बन्धः,10.1	समुच्चय_द्योतकः,19.1#सम्बन्धः,10.1	और	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a64	01	028_2-029	1	#FF99FF	assets/graphs/01_028_2-029_1.svg
12.1	परिशुष्यति	12	परिशुष्यति	परि_शुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;शुषँ;दिवादिः}	परि_शुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;परि_शुषँ;दिवादिः}	समुच्चितः,19.1	समुच्चितः,19.1	सूखा_जा_रहा_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e07a65	01	028_2-029	1	#FF1975	assets/graphs/01_028_2-029_1.svg
