anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	अथ	2	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,15.1	सम्बन्धः,2.1#सम्बन्धः,15.1	इसके_बाद	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e1	01	020-021	1	#FF99FF	assets/graphs/01_020-021_1.svg
2.1	व्यवस्थितान्	3	व्यवस्थितान्दृष्ट्वा	व्यवस्थित{पुं;2;बहु}	व्यवस्थित{पुं;2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	मोर्चा_बाँधकर_डटे_हुए	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e2	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
3.1	दृष्ट्वा	5	-	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1	देखकर	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e3	01	020-021	1	#FF99FF	assets/graphs/01_020-021_1.svg
4.1	धार्तराष्ट्रान्	4	धार्तराष्ट्रान्कपिध्वजः	धार्तराष्ट्र{पुं;2;बहु}	धार्तराष्ट्र{पुं;2;बहु}	कर्म,3.1	कर्म,3.1	धृतराष्ट्र_सम्बन्धियों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e4	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
5.1	कपि-	6.1	-	कपि	कपि	बहुव्रीहिः,5.2	बहुव्रीहिः,5.2	कपिध्वज	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e5	01	020-021	1	#FFFF00	assets/graphs/01_020-021_1.svg
5.2	ध्वजः	6.2	-	ध्वज{पुं;1;एक}	ध्वज{पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e6	01	020-021	1	#00BFFF	assets/graphs/01_020-021_1.svg
6.1	प्रवृत्ते	9	प्रवृत्ते	प्रवृत्त{पुं;7;एक}/प्रवृत्त{नपुं;1;द्वि}/प्रवृत्त{नपुं;2;द्वि}/प्रवृत्त{नपुं;7;एक}/प्रवृत्ता{स्त्री;1;द्वि}/प्रवृत्ता{स्त्री;2;द्वि}/प्रवृत्ता{स्त्री;1;द्वि}/प्रवृत्ता{स्त्री;2;द्वि}	प्रवृत्त{पुं;7;एक}	भावलक्षणसप्तमी_पूर्वकालः,15.1	भावलक्षणसप्तमी_पूर्वकालः,15.1	समय	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e7	01	020-021	1	#C6E2EB	assets/graphs/01_020-021_1.svg
7.1	शस्त्र-	8.1	शस्त्रसम्पाते	शस्त्र	शस्त्र	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	शस्त्र_चलने_की_तैयारी_के	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e8	01	020-021	1	#FFFF00	assets/graphs/01_020-021_1.svg
7.2	सम्पाते	8.2	-	सम्पात{पुं;7;एक}	सम्पात{पुं;7;एक}	विशेषणम्,6.1	विशेषणम्,6.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079e9	01	020-021	1	#C6E2EB	assets/graphs/01_020-021_1.svg
8.1	धनुः	10	धनुरुद्यम्य	धनु{पुं;1;एक}/धनुस्{नपुं;1;एक}/धनुस्{नपुं;2;एक}/धनुस्{नपुं;8;एक}	धनुस्{नपुं;2;एक}	कर्म,9.1	कर्म,9.1	धनुष	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079ea	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
9.1	उद्यम्य	11	-	उद्_यम्1{कृत्_प्रत्ययः:ल्यप्;यमोँ;भ्वादिः}/उद्_यम्2{कृत्_प्रत्ययः:ल्यप्;यमँ;भ्वादिः}/उद्_यम्3{कृत्_प्रत्ययः:ल्यप्;यमँ;चुरादिः}	उद्_यम्1{कृत्_प्रत्ययः:ल्यप्;उद्_यमोँ;भ्वादिः}	पूर्वकालः,15.1	पूर्वकालः,15.1	उठाकर	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079eb	01	020-021	1	#FF99FF	assets/graphs/01_020-021_1.svg
10.1	पाण्डवः	7	पाण्डवः	पाण्डु{पुं;1;बहु}/पाण्डु{स्त्री;1;बहु}/पाण्डव{पुं;1;एक}	पाण्डव{पुं;1;एक}	कर्ता,15.1	कर्ता,15.1	अर्जुन_ने	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079ec	01	020-021	1	#00BFFF	assets/graphs/01_020-021_1.svg
11.1	हृषीकेशम्	13	हृषीकेशं	हृषीकेश{पुं;2;एक}	हृषीकेश{पुं;2;एक}	गौणकर्म,15.1	गौणकर्म,15.1	हृषीकेश_श्रीकृष्ण_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079ed	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
12.1	तदा	12	तदा	तदा{अव्य}	तदा{अव्य}	अधिकरणम्,15.1	अधिकरणम्,15.1	उस	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079ee	01	020-021	1	#FF99FF	assets/graphs/01_020-021_1.svg
13.1	वाक्यम्	15	वाक्यमिदमाह	वाक्य{नपुं;1;एक}/वाक्य{नपुं;2;एक}	वाक्य{नपुं;2;एक}	मुख्यकर्म,15.1	मुख्यकर्म,15.1	वचन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079ef	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
14.1	इदम्	14	-	इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक}	इदम्{नपुं;2;एक}	विशेषणम्,13.1	विशेषणम्,13.1	यह	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079f0	01	020-021	1	#93DB70	assets/graphs/01_020-021_1.svg
15.1	आह	16	-	ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;ब्रूञ्;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः}	अभिहिता_कर्ता,10.1	अभिहिता_कर्ता,10.1	कहा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079f1	01	020-021	1	#FF1975	assets/graphs/01_020-021_1.svg
16.1	मही-	1.1	महीपते	मही	मही	षष्ठी-तत्पुरुषः,16.2	षष्ठी-तत्पुरुषः,16.2	हे_राजन्	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079f2	01	020-021	1	#FFFF00	assets/graphs/01_020-021_1.svg
16.2	पते	1.2	-	पत{पुं;7;एक}/पति{पुं;8;एक}	पति{पुं;8;एक}	सम्बोध्यः,15.1	सम्बोध्यः,15.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079f3	01	020-021	1	#6FFFC3	assets/graphs/01_020-021_1.svg
17.1	सेनयोः	20	सेनयोरुभयोर्मध्ये	सेना{स्त्री;6;द्वि}/सेना{स्त्री;7;द्वि}	सेना{स्त्री;6;द्वि}	षष्ठीसम्बन्धः,19.1	षष्ठीसम्बन्धः,19.1	सेनाओं_के	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777856d5e31353e079f4	01	020-021	1	#87CEEB	assets/graphs/01_020-021_1.svg
