anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	सर्व-	1.1	सर्व-इन्द्रिय-गुण-आभास	सर्व	सर्व	कर्मधारयः,1.2	त_पु_6,1.4#त_पु_3,1.3#त_पु,1.4	सर्व-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072fa	13	014-015	1	#FFFF00	-
1.2	इन्द्रिय-	1.2	--	इन्द्रिय	इन्द्रिय	सप्तमी-तत्पुरुषः,1.3	त_पु_6,1.4#त_पु_3,1.3	इन्द्रिय-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072fb	13	014-015	1	#FFFF00	-
1.3	गुण-	1.3	--	गुण	गुण	षष्ठी-तत्पुरुषः,1.4	त_पु_6,1.4	गुण-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072fc	13	014-015	1	#FFFF00	-
1.4	आभासम्	1.4	--	आभास{पुं;2;एक(आङ्_भास्1;घञ्;भ्वादिः)}/आभास{नपुं;1;एक}/आभास{नपुं;2;एक}	आभास{नपुं;1;एक(आङ्_भास्1;घञ्;भ्वादिः)}	समुच्चितः,20.2	विशेषणम्,19.1#विशेषणम्,15.1#विशेषणम्,14.2#विशेषणम्,8.2#विशेषणम्,7.1#विशेषणम्,3.2#विशेषणम्,2.3#सुप्_समुच्चितः,8.2#कर्म,8.2#सुप्_समुच्चितः,11.1#सुप्_समुच्चितः,4.2#समुच्चितः,20.2	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072fd	13	014-015	1	#00BFFF	-
2.1	सर्व-	2.1	सर्व-इन्द्रिय-विवर्जित	सर्व	सर्व	कर्मधारयः,2.2	त_पु_6,2.3#त_पु,2.3	सर्व-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072fe	13	014-015	1	#FFFF00	-
2.2	इन्द्रिय-	2.2	--	इन्द्रिय	इन्द्रिय	तृतीया-तत्पुरुषः,2.3	त_पु_6,2.3	इन्द्रिय-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f072ff	13	014-015	1	#FFFF00	-
2.3	विवर्जितम्	2.3	--	विवर्जित{पुं;2;एक}/विवर्जित{नपुं;1;एक}/विवर्जित{नपुं;2;एक}	विवर्जित{नपुं;1;एक}	समुच्चितः,20.2	विशेषणम्,19.1#विशेषणम्,15.1#विशेषणम्,14.2#विशेषणम्,8.2#विशेषणम्,7.1#विशेषणम्,3.2#सुप्_समुच्चितः,8.2#कर्म,8.2#विधेय_विशेषणम्,1.4#सुप्_समुच्चितः,11.1#सुप्_समुच्चितः,4.2#विशेषणम्,20.2#समुच्चितः,20.2	परित्यक्त_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f07300	13	014-015	1	#00BFFF	-
3.1	अ-	3.1	अ-सक्त	अ	अ	नञ्-तत्पुरुषः,3.2	नञ्_त_पु,3.2	अ-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f07301	13	014-015	1	#FFFF00	-
3.2	सक्तम्	3.2	--	सक्त{पुं;2;एक(षच्2;क्त;भ्वादिः)}/सक्त{नपुं;1;एक(षच्2;क्त;भ्वादिः)}/सक्त{नपुं;2;एक(षच्2;क्त;भ्वादिः)}	सक्त{नपुं;1;एक(षच्2;क्त;भ्वादिः)}	समुच्चितः,20.2	कर्म,8.2#विधेय_विशेषणम्,2.3#विधेय_विशेषणम्,1.4#सुप्_समुच्चितः,11.1#सुप्_समुच्चितः,4.2#समुच्चितः,20.2	लगा_हुवे_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f07302	13	014-015	1	#00BFFF	-
4.1	सर्व-	4.1	सर्व-भृत्	सर्व	सर्व	उपपद-तत्पुरुषः,4.2	त_पु_6,4.2#त_पु,4.2	सर्व-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	680b8d0b985278cf30f07303	13	014-015	1	#FFFF00	-
