anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	न	23	नैव	न{अव्य}	न{अव्य}	प्रतिषेधः,4.1	प्रतिषेधः,4.1	नहीं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa322	05	008	1	#FF99FF	assets/graphs/05_008_1.svg
2.1	एव	24	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	निःसन्देह	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa323	05	008	1	#FF99FF	assets/graphs/05_008_1.svg
3.1	किञ्चित्	25	किञ्चित्करोमीति	किञ्चित्{अव्य}/किञ्चित्{नपुं;1;एक}/किञ्चित्{नपुं;2;एक}	किञ्चित्{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	कुछ_भी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa324	05	008	1	#93DB70	assets/graphs/05_008_1.svg
4.1.1	(अहम्)	26	-	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,4.1	कर्ता,4.1	(मैं)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa326	05	008	1	#00BFFF	assets/graphs/05_008_1.svg
4.1	करोमि	27	0	कृ3{कर्तरि;लट्;उ;एक;परस्मैपदी;डुकृञ्;तनादिः}	कृ3{कर्तरि;लट्;उ;एक;परस्मैपदी;डुकृञ्;तनादिः}	वाक्यकर्म,7.1	वाक्यकर्म,7.1	करता_हूँ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa325	05	008	1	#FF1975	assets/graphs/05_008_1.svg
5.1	इति	27	0	इति{अव्य}	इति{अव्य}	वाक्यकर्म_द्योतकः,4.1	वाक्यकर्म_द्योतकः,4.1	ऐसा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa327	05	008	1	#FF99FF	assets/graphs/05_008_1.svg
6.1	युक्तः	2	युक्तो	युक्त{पुं;1;एक}	युक्त{पुं;1;एक}	विशेषणम्,8.2	विशेषणम्,8.2;कर्ता,7.1	युक्त	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa328	05	008	1	#00BFFF	assets/graphs/05_008_1.svg
7.1	मन्येत	28	मन्येत	मन्1{कर्मणि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनुँ;तनादिः}/मन्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}	मन्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}	अभिहित_कर्ता,6.1;सकर्मकः.1	अभिहित_कर्ता,6.1;सकर्मकः.1	माने	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa329	05	008	1	#FF1975	assets/graphs/05_008_1.svg
8.1	तत्त्व-	1.1	तत्त्ववित्	तत्त्व	तत्त्व	उपपद-तत्पुरुषः,8.2	उपपद-तत्पुरुषः,8.2	तत्त्व_को_जाननेवाला	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa32a	05	008	1	#FFFF00	assets/graphs/05_008_1.svg
8.2	वित्	1.2	-	विद्{नपुं;1;एक}	विद्{नपुं;1;एक}	कर्ता,7.1	कर्ता,7.1;विशेषणम्,6.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa32b	05	008	1	#00BFFF	assets/graphs/05_008_1.svg
9.1	पश्यन्	3	पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन्	दृश्1{कृत्_प्रत्ययः;शतृ;दृशिँर्;भ्वादिः;पुं;1;एक}	दृश्1{कृत्_प्रत्ययः;शतृ;दृशिँर्;भ्वादिः;पुं;1;एक}	वर्तमानसमानकालः,21.1	वर्तमानसमानकालः,21.1	देखता_हुआ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa32c	05	008	1	#00BFFF	assets/graphs/05_008_1.svg
10.1	शृण्वन्	4	0	शृण्वत्{पुं;1;एक}/श्रु1{कृत्_प्रत्ययः;शतृ;श्रु;भ्वादिः;पुं;1;एक}	श्रु1{कृत्_प्रत्ययः;शतृ;श्रु;भ्वादिः;पुं;1;एक}	समुच्चितः,21.1	समुच्चितः,21.1	सुनता_हुआ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58077a990553544aa32d	05	008	1	#00BFFF	assets/graphs/05_008_1.svg
