anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	पूर्व-	5.1	पूर्वाभ्यासेन	पूर्व	पूर्व	कर्मधारयः,1.2	कर्मधारयः,1.2	पहले_के_अभ्यास_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa767	06	044	1	#FFFF00	assets/graphs/06_044_1.svg
1.2	अभ्यासेन	5.2	-	अभ्यास{पुं}{3;एक}	अभ्यास{पुं}{3;एक}	करणम्,4.1	करणम्,4.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa768	06	044	1	#40E0D0	assets/graphs/06_044_1.svg
2.1	तेन	4	तेनैव	तद्{पुं}{3;एक}/तद्{नपुं}{3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनुँ;तनादिः}	तद्{पुं}{3;एक}	विशेषणम्,1.2	विशेषणम्,1.2;कर्ता,4.1	उस	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa769	06	044	1	#40E0D0	assets/graphs/06_044_1.svg
3.1	एव	6	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,1.2	सम्बन्धः,1.2	ही	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76a	06	044	1	#FF99FF	assets/graphs/06_044_1.svg
4.1	ह्रियते	7	ह्रियते	हृ1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;हृञ्;भ्वादिः}/हृ2{कर्मणि;लट्;प्र;एक;आत्मनेपदी;हृ;जुहोत्यादिः}	हृ1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;हृञ्;भ्वादिः}	अभिहित_कर्म,8.1	अभिहित_कर्म,8.1	आकर्षित_किया_जाता_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76b	06	044	1	#FF1975	assets/graphs/06_044_1.svg
5.1	हि	12	ह्यवशोऽपि	हि{अव्य}	हि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	निःसन्देह	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76c	06	044	1	#FF99FF	assets/graphs/06_044_1.svg
6.1	अ-	2.1	0	अ	न	नञ्-तत्पुरुषः,6.2	नञ्-तत्पुरुषः,6.2	पराधीन_हुआ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76d	06	044	1	#FFFF00	assets/graphs/06_044_1.svg
6.2	वशः	2.2	-	वश{पुं}{1;एक}	वश{पुं}{1;एक}	विशेषणम्,8.1	विशेषणम्,8.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76e	06	044	1	#00BFFF	assets/graphs/06_044_1.svg
7.1	अपि	3	0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,6.2	सम्बन्धः,6.2	भी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa76f	06	044	1	#FF99FF	assets/graphs/06_044_1.svg
8.1	सः	1	सः	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्म,4.1	कर्म,4.1	वह	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa770	06	044	1	#00BFFF	assets/graphs/06_044_1.svg
9.1	जिज्ञासुः	9	जिज्ञासुरपि	जिज्ञासु{पुं}{1;एक}	जिज्ञासु{पुं}{1;एक}	कर्ता,13.1	कर्ता,13.1	जिज्ञासु	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa771	06	044	1	#00BFFF	assets/graphs/06_044_1.svg
10.1	अपि	10	0	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,9.1	सम्बन्धः,9.1	भी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa772	06	044	1	#FF99FF	assets/graphs/06_044_1.svg
11.1	योगस्य	8	योगस्य	योग{पुं}{6;एक}	योग{पुं}{6;एक}	षष्ठीसम्बन्धः,12.2	षष्ठीसम्बन्धः,12.2	समबुद्धिरूप_योग_का	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa773	06	044	1	#87CEEB	assets/graphs/06_044_1.svg
12.1	शब्द-	11.1	शब्दब्रह्मातिवर्तते	शब्द	शब्द	कर्मधारयः,12.2	कर्मधारयः,12.2	वेद_में_कहे_हुए_सकाम_कर्मों_के_फल_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa774	06	044	1	#FFFF00	assets/graphs/06_044_1.svg
12.2	ब्रह्म	11.2	-	ब्रह्म{नपुं}{8;एक}/ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक}	ब्रह्मन्{नपुं}{2;एक}	कर्म,13.1	कर्म,13.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa775	06	044	1	#93DB70	assets/graphs/06_044_1.svg
13.1	अतिवर्तते	13	0	अति_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	अति_वृत्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;अति_वृतुँ;भ्वादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	उल्लंघन_कर_जाता_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58587a990553544aa776	06	044	1	#FF1975	assets/graphs/06_044_1.svg
