anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	बुद्धिः	1	बुद्धिः	बुद्धि{स्त्री;1;एक}	बुद्धि{स्त्री;1;एक}	घटकः,29.1	सुप्_समुच्चितः,12.1#घटकः,29.1	बुद्धि	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239a	10	4-5	1	#00BFFF	-
2.1	ज्ञानम्	2	ज्ञानम्	ज्ञान{नपुं;1;एक}/ज्ञान{नपुं;2;एक}	ज्ञान{नपुं;1;एक}	घटकः,29.1	सुप्_समुच्चितः,12.1#विधेय_विशेषणम्,1.1#घटकः,29.1	ज्ञान	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239b	10	4-5	1	#00BFFF	-
3.1	अ-	3	अ-सम्मोह	अ	अ	नञ्-तत्पुरुषः,3.2	नञ्_त_पु,3.2#नञ्-तत्पुरुषः,3.2	अ-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239c	10	4-5	1	#FFFF00	-
3.2	सम्मोहः	4	--	सम्मोह{पुं;1;एक(सम्_मुह्1;घञ्;दिवादिः)}	सम्मोह{पुं;1;एक(सम्_मुह्1;घञ्;दिवादिः)}	घटकः,29.1	विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#विशेषणम्,23.2#विशेषणम्,22.1#विशेषणम्,21.1#विशेषणम्,20.1#विशेषणम्,19.1#विशेषणम्,17.2#विशेषणम्,14.2#विशेषणम्,12.1#विशेषणम्,11.2#विशेषणम्,10.1#विशेषणम्,9.1#विशेषणम्,8.1#विशेषणम्,7.1#विशेषणम्,6.1#विशेषणम्,5.1#विशेषणम्,4.1#सुप्_समुच्चितः,12.1#घटकः,29.1	मूढभाव	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239d	10	4-5	1	#00BFFF	-
4.1	क्षमा	5	क्षमा	क्षमा{स्त्री;1;एक}	क्षमा{स्त्री;1;एक}	घटकः,29.1	विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,12.1#घटकः,29.1	क्षमा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239e	10	4-5	1	#00BFFF	-
5.1	सत्यम्	6	सत्यम्	सत्यम्{अव्य}/सत्य{पुं;2;एक}/सत्य{नपुं;1;एक}/सत्य{नपुं;2;एक}	सत्य{नपुं;1;एक}	घटकः,29.1	सुप्_समुच्चितः,12.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#घटकः,29.1	सचमुच	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd979095223239f	10	4-5	1	#00BFFF	-
6.1	दमः	7	दमः	दम{पुं;1;एक}	दम{पुं;1;एक}	घटकः,29.1	विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,12.1#घटकः,29.1	आत्मनियंत्रण	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd97909522323a0	10	4-5	1	#00BFFF	-
7.1	शमः	8	शमः	शम{पुं;1;एक}	शम{पुं;1;एक}	घटकः,29.1	विधेय_विशेषणम्,6.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,12.1#घटकः,29.1	शान्ति	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd97909522323a1	10	4-5	1	#00BFFF	-
8.1	सुखम्	9	सुखम्	सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक}	सुख{नपुं;1;एक}	घटकः,29.1	विशेषणम्,23.2#विशेषणम्,22.1#विशेषणम्,21.1#विशेषणम्,20.1#विशेषणम्,14.2#विशेषणम्,12.1#विशेषणम्,9.1#विशेषणम्,5.1#सुप्_समुच्चितः,12.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,6.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#क्रियाविशेषणम्,24.1#घटकः,29.1	प्रसन्नतापूर्वक	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd97909522323a2	10	4-5	1	#00BFFF	-
9.1	दुःखम्	10	दुःखम्	दुःख{नपुं;1;एक}/दुःख{नपुं;2;एक}	दुःख{नपुं;1;एक}	घटकः,29.1	विशेषणम्,23.2#विशेषणम्,22.1#विशेषणम्,21.1#विशेषणम्,20.1#विशेषणम्,14.2#विशेषणम्,12.1#विशेषणम्,8.1#विशेषणम्,5.1#सुप्_समुच्चितः,12.1#विधेय_विशेषणम्,8.1#विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,6.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#घटकः,29.1	दुःख	-	-	-	-	-	श्रीमद्भगवद्गीता			0	68090354afd97909522323a3	10	4-5	1	#00BFFF	-
