anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	कविम्	2	कविं	कवि{पुं;2;एक}	कवि{पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	सर्वज्ञ	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa57	08	009	1	#93DB70	assets/graphs/08_009_1.svg
2.1	पुराणम्	3	पुराणमनुशासितारमणोरणीयांसमनुस्मरेद्यः	पुराण{नपुं;1;एक}/पुराण{नपुं;2;एक}/पुराण{पुं;2;एक}	पुराण{पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	अनादि	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa58	08	009	1	#93DB70	assets/graphs/08_009_1.svg
3.1	अनुशासितारम्	4	0	अनुशासितृ{पुं;2;एक}/अनु_शास्1{कृत्_प्रत्ययः;तृच्;शासुँ;अदादिः;पुं;2;एक}	अनु_शास्1{कृत्_प्रत्ययः;तृच्;शासुँ;अदादिः;पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1;विशेषणम्,13.3.1	सबके_नियन्ता	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa59	08	009	1	#93DB70	assets/graphs/08_009_1.svg
4.1	अणोः	5	0	अणु{पुं;5;एक}/अणु{पुं;6;एक}	अणु{पुं;5;एक}	विभक्तम्,5.1	विभक्तम्,5.1;षष्ठीसम्बन्धः,5.1	सूक्ष्म_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5a	08	009	1	#B4FFB4	assets/graphs/08_009_1.svg
5.1	अणीयांसम्	6	0	अणीयस्{पुं;2;एक}	अणीयस्{पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1;विशेषणम्,13.3.1	अति_सूक्ष्म	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5b	08	009	1	#93DB70	assets/graphs/08_009_1.svg
6.1	अनुस्मरेत्	14	0	अनु_स्मृ1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;स्मृ;भ्वादिः}/अनु_स्मृ2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;स्मृ;भ्वादिः}	अनु_स्मृ1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;स्मृ;भ्वादिः}	अभिहित_कर्ता,7.1;सकर्मकः.1	अभिहित_कर्ता,7.1;सकर्मकः.1	स्मरण_करता_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5c	08	009	1	#FF1975	assets/graphs/08_009_1.svg
7.1	यः	1	0	यद्{पुं;1;एक}	यद्{पुं;1;एक}	कर्ता,6.1	कर्ता,6.1;नित्यसम्बन्धः,27.1	जो_(पुरुष)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5d	08	009	1	#00BFFF	assets/graphs/08_009_1.svg
8.1	सर्वस्य	12	सर्वस्य	सर्व{पुं;6;एक}/सर्व{नपुं;6;एक}	सर्व{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	सबके	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5e	08	009	1	#87CEEB	assets/graphs/08_009_1.svg
9.1	धातारम्	13	धातारमचिन्त्यरूपमादित्यवर्णं	धातृ{पुं;2;एक}	धातृ{पुं;2;एक}	कर्म,6.1	कर्म,6.1;विशेषणम्,13.3.1	धारण-पोषण_करनेवाले	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa5f	08	009	1	#93DB70	assets/graphs/08_009_1.svg
10.1	अ-	7.1	0	अ	अ	नञ्-तत्पुरुषः,10.2	नञ्-तत्पुरुषः,10.2	अचिन्त्य-स्वरूप	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa60	08	009	1	#FFFF00	assets/graphs/08_009_1.svg
10.2	चिन्त्य-	7.2	-	चिन्त्य	चिन्त्य	बहुव्रीहिः,10.3	बहुव्रीहिः,10.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa61	08	009	1	#FFFF00	assets/graphs/08_009_1.svg
10.3	रूपम्	7.3	-	रूप{नपुं;1;एक}/रूप{नपुं;2;एक}/रूप{पुं;2;एक}	रूप{पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1;विशेषणम्,13.3.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa62	08	009	1	#93DB70	assets/graphs/08_009_1.svg
11.1	आदित्य-	8.1	0	आदित्य	आदित्य	बहुव्रीहिः,11.2	बहुव्रीहिः,11.2	सूर्य_के_सदृश_नित्य_चेतन_प्रकाशरूप	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa63	08	009	1	#FFFF00	assets/graphs/08_009_1.svg
11.2	वर्णम्	8.2	-	वर्ण{नपुं;1;एक}/वर्ण{नपुं;2;एक}/वर्ण{पुं;2;एक}	वर्ण{पुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1;विशेषणम्,13.3.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa64	08	009	1	#93DB70	assets/graphs/08_009_1.svg
12.1	तमसः	9	तमसः	तमस्{नपुं;5;एक}/तमस्{नपुं;6;एक}/तमस{पुं;1;एक}	तमस्{नपुं;5;एक}	उपपदसम्बन्धः,13.1	उपपदसम्बन्धः,13.1	अविद्या_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677b58bb7a990553544aaa65	08	009	1	#B4FFB4	assets/graphs/08_009_1.svg
