anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	एताम्	1	एतां	एता{स्त्री}{2;एक}/एतद्{स्त्री}{2;एक}/आङ्_इ1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;इण्;अदादिः}	एतद्{स्त्री}{2;एक}	विशेषणम्,2.1	विशेषणम्,2.1	इस	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09512	16	009	1	#93DB70	assets/graphs/16_009_1.svg
2.1	दृष्टिम्	2	दृष्टिमवष्टभ्य	दृष्टि{स्त्री}{2;एक}	दृष्टि{स्त्री}{2;एक}	कर्म,3.1	कर्म,3.1	मिथ्या_ज्ञान_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09513	16	009	1	#93DB70	assets/graphs/16_009_1.svg
3.1	अवष्टभ्य	3	0	अवष्टभ्य{पुं}{8;एक}/अवष्टभ्य{नपुं}{8;एक}	अव_स्तम्भ्1{कृत्_प्रत्ययः:ल्यप्;अव_ष्टभिँ;भ्वादिः}	पूर्वकालः,6.1	पूर्वकालः,6.1	अवलम्बन_करके	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09514	16	009	1	#FF99FF	assets/graphs/16_009_1.svg
4.1	नष्ट-	4.1	नष्टात्मानोऽल्पबुद्धयः	नष्टात्मन्{पुं}{1;बहु}	नष्ट	बहुव्रीहिः,4.2	बहुव्रीहिः,4.2	जिनका_स्वभाव_नष्ट_हो_गया_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09515	16	009	1	#FFFF00	assets/graphs/16_009_1.svg
4.2	आत्मानः	4.2	-	-	आत्मन्{पुं}{1;बहु}	विशेषणम्,10.2	विशेषणम्,10.2	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09516	16	009	1	#00BFFF	assets/graphs/16_009_1.svg
5.1	अल्प-	5.1	0	अल्पबुद्धि{पुं}{1;बहु}/अल्पबुद्धि{स्त्री}{1;बहु}	अल्प	बहुव्रीहिः,5.2	बहुव्रीहिः,5.2	जिनकी_बुद्धि_मन्द_है	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09517	16	009	1	#FFFF00	assets/graphs/16_009_1.svg
5.2	बुद्धयः	5.2	-	-	बुद्धि{पुं}{1;बहु}	विशेषणम्,10.2	विशेषणम्,10.2	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09518	16	009	1	#00BFFF	assets/graphs/16_009_1.svg
6.1	प्रभवन्ति	11	प्रभवन्त्युग्रकर्माणः	प्र_भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भू;भ्वादिः}	प्र_भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;प्र_भू;भ्वादिः}	अभिहित_कर्ता,10.2;अकर्मकः.1	अभिहित_कर्ता,10.2;अकर्मकः.1	समर्थ_होते_हैं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e09519	16	009	1	#FF1975	assets/graphs/16_009_1.svg
7.1	उग्र-	7.1	0	उग्रकर्मन्{पुं}{1;बहु}	उग्र	बहुव्रीहिः,7.2	बहुव्रीहिः,7.2	क्रूरकर्मी	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951a	16	009	1	#FFFF00	assets/graphs/16_009_1.svg
7.2	कर्माणः	7.2	-	-	कर्मन्{पुं}{1;बहु}	विशेषणम्,10.2	विशेषणम्,10.2	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951b	16	009	1	#00BFFF	assets/graphs/16_009_1.svg
8.1	क्षयाय	10	क्षयाय	क्षय{पुं}{4;एक}/क्षय{नपुं}{4;एक}	क्षय{पुं}{4;एक}	प्रयोजनम्,6.1	प्रयोजनम्,6.1	नाश_के_लिये	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951c	16	009	1	#B0E2FF	assets/graphs/16_009_1.svg
9.1	जगतः	9	जगतोऽहिताः	जगत्{पुं}{1;बहु}/जगत्{पुं}{2;बहु}/जगत्{पुं}{5;एक}/जगत्{पुं}{6;एक}/जगत्{नपुं}{5;एक}/जगत्{नपुं}{6;एक}	जगत्{नपुं}{6;एक}	षष्ठीसम्बन्धः,8.1	षष्ठीसम्बन्धः,8.1	जगत्_के	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951d	16	009	1	#87CEEB	assets/graphs/16_009_1.svg
10.1	अ-	6.1	0	अ-	अ-	बहुव्रीहिः,10.2	बहुव्रीहिः,10.2	सबका_अपकार_करनेवाले	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951e	16	009	1	#FFFF00	assets/graphs/16_009_1.svg
10.2	हिताः	6.2	-	अहित{पुं}{1;बहु}/अहिता{स्त्री}{1;बहु}/अहिता{स्त्री}{2;बहु}/अहिता{स्त्री}{1;बहु}/अहिता{स्त्री}{2;बहु}	अहित{पुं}{1;बहु}	कर्ता,6.1	कर्ता,6.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	677778af56d5e31353e0951f	16	009	1	#00BFFF	assets/graphs/16_009_1.svg
