anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	यद्यपि	1	यद्यप्येते	यद्यपि{अव्य}	यद्यपि{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	यद्यपि	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af2	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
2.1	एते	2	-	एता{स्त्री;1;द्वि}/एता{स्त्री;2;द्वि}/एतद्{पुं;1;बहु}/एतद्{स्त्री;1;द्वि}/एतद्{स्त्री;2;द्वि}/एतद्{नपुं;1;द्वि}/एतद्{नपुं;2;द्वि}	एतद्{पुं}{1;बहु}	कर्ता,4.1	कर्ता,4.1	ये_(लोग)	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af3	01	038-039	1	#00BFFF	assets/graphs/01_038-039_1.svg
3.1	न	9	न	न{अव्य}	न{अव्य}	प्रतिषेधः,4.1	प्रतिषेधः,4.1	नहीं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af4	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
4.1	पश्यन्ति	10	पश्यन्ति	पश्यत्{नपुं;1;बहु}/पश्यत्{नपुं;2;बहु}/दृश्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,2.1;सकर्मकः.1	अभिहित_कर्ता,2.1;सकर्मकः.1	देखते	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af5	01	038-039	1	#FF1975	assets/graphs/01_038-039_1.svg
5.1	लोभ-	3.1	लोभोपहतचेतसः	लोभ	लोभ	तृतीया-तत्पुरुषः,5.2	तृतीया-तत्पुरुषः,5.2	लोभ_से_भ्रष्टचित्त_हुए	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af6	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
5.2	उपहत-	3.2	-	उपहत	उपहत	बहुव्रीहिः,5.3	बहुव्रीहिः,5.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af7	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
5.3	चेतसः	3.3	-	चेतस्{नपुं;5;एक}/चेतस्{नपुं}{6;एक}	चेतस्{पुं;1;बहु}	विशेषणम्,2.1	विशेषणम्,2.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af8	01	038-039	1	#00BFFF	assets/graphs/01_038-039_1.svg
6.1	कुल-	4.1	कुलक्षयकृतं	कुल	कुल	षष्ठी-तत्पुरुषः,6.2	षष्ठी-तत्पुरुषः,6.2	कुल_के_नाश_से_उत्पन्न	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07af9	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
6.2	क्षय-	4.2	-	क्षय	क्षय	तृतीया-तत्पुरुषः,6.3	तृतीया-तत्पुरुषः,6.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07afa	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
6.3	कृतम्	4.3	-	कृत्{पुं;2;एक}/कृत{पुं;2;एक}/कृत{नपुं;1;एक}/कृत{नपुं;2;एक}	कृत्{पुं;2;एक}	विशेषणम्,7.1	विशेषणम्,7.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07afb	01	038-039	1	#93DB70	assets/graphs/01_038-039_1.svg
7.1	दोषम्	5	दोषं	दोस्{पुं;2;एक}/दोष{पुं;2;एक}	दोष{पुं;2;एक}	समुच्चितः,10.1	समुच्चितः,10.1	दोष_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07afc	01	038-039	1	#93DB70	assets/graphs/01_038-039_1.svg
8.1	मित्र-	6.1	मित्रद्रोहे	मित्र	मित्र	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	मित्रों_से_विरोध_करने_में	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07afd	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
8.2	द्रोहे	6.2	-	द्रोह{पुं;7;एक}	द्रोह{पुं;7;एक}	विषयाधिकरणम्,10.1	विषयाधिकरणम्,4.1#विषयाधिकरणम्,10.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07afe	01	038-039	1	#C6E2EB	assets/graphs/01_038-039_1.svg
9.1	च	8	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10.1	समुच्चय_द्योतकः,10.1	और	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07aff	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
10.1	पातकम्	7	पातकम्	पातक{पुं;2;एक}/पातक{नपुं;1;एक}/पातक{नपुं;2;एक}	पत्1_णिच्{कृत्_प्रत्ययः:ण्वुल्;पत्लृ;भ्वादिः;पुं}{2;एक}	कर्म,4.1	कर्म,4.1	पाप_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b00	01	038-039	1	#93DB70	assets/graphs/01_038-039_1.svg
11.1	कथम्	19	कथं	कथम्{अव्य}	कथम्{अव्य}	क्रियाविशेषणम्,13.1	क्रियाविशेषणम्,13.1	क्यों	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b01	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
12.1	न	20	न	न{अव्य}	न{अव्य}	प्रतिषेधः,13.1	प्रतिषेधः,13.1	नहीं	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b02	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
13.1	ज्ञेयम्	21	ज्ञेयमस्माभिः	ज्ञेय{पुं;2;एक}/ज्ञेय{नपुं;1;एक}/ज्ञेय{नपुं;2;एक}	ज्ञा2{कृत्_प्रत्ययः:यत्;ज्ञा;क्र्यादिः;नपुं}{1;एक}	-	-	विचार_करना_चाहिये	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b03	01	038-039	1	#00BFFF	assets/graphs/01_038-039_1.svg
14.1	अस्माभिः	15	-	अस्मद्{3;बहु}	अस्मद्{3;बहु}	कर्ता,13.1;कर्ता,17.1	कर्ता,13.1#कर्ता,13.1;कर्ता,17.1	हमको	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b04	01	038-039	1	#40E0D0	assets/graphs/01_038-039_1.svg
15.1	पापात्	17	पापादस्मान्निवर्तितुम्	पाप{पुं;5;एक}/पाप{नपुं;5;एक}	पाप{नपुं}{5;एक}	अपादानम्,17.1	अपादानम्,17.1	पाप_से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b05	01	038-039	1	#B4FFB4	assets/graphs/01_038-039_1.svg
16.1	अस्मात्	16	-	इदम्{पुं;5;एक}/इदम्{नपुं;5;एक}	इदम्{नपुं}{5;एक}	विशेषणम्,15.1	विशेषणम्,15.1	इस	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b06	01	038-039	1	#B4FFB4	assets/graphs/01_038-039_1.svg
17.1	निवर्तितुम्	18	-	निवर्तितुम्	नि_वृत्1{कृत्_प्रत्ययः:तुमुन्;नि_वृतुँ;भ्वादिः}	तुमुन्कर्म,13.1	तुमुन्कर्म,13.1	हटने_के_लिये	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b07	01	038-039	1	#FF99FF	assets/graphs/01_038-039_1.svg
18.1	कुल-	12.1	कुलक्षयकृतं	कुल	कुल	षष्ठी-तत्पुरुषः,18.2	षष्ठी-तत्पुरुषः,18.2	कुल_के_नाश_से_उत्पन्न	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b08	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
18.2	क्षय-	12.2	-	क्षय	क्षय	तृतीया-तत्पुरुषः,18.3	तृतीया-तत्पुरुषः,18.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b09	01	038-039	1	#FFFF00	assets/graphs/01_038-039_1.svg
18.3	कृतम्	12.3	-	कृत्{पुं;2;एक}/कृत{पुं;2;एक}/कृत{नपुं;1;एक}/कृत{नपुं;2;एक}	कृत्{पुं;2;एक}	विशेषणम्,19.1	विशेषणम्,19.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b0a	01	038-039	1	#93DB70	assets/graphs/01_038-039_1.svg
19.1	दोषम्	13	दोषं	दोस्{पुं;2;एक}/दोष{पुं;2;एक}	दोष{पुं;2;एक}	कर्म,13.1	कर्म,13.1	दोष_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b0b	01	038-039	1	#93DB70	assets/graphs/01_038-039_1.svg
20.1	प्रपश्यद्भिः	14	प्रपश्यद्भिर्जनार्दन	प्रपश्यत्{पुं;3;बहु}/प्रपश्यत्{नपुं;3;बहु}	प्रपश्यत्{पुं;3;बहु}	विशेषणम्,14.1	विशेषणम्,14.1	जाननेवाले	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b0c	01	038-039	1	#40E0D0	assets/graphs/01_038-039_1.svg
21.1	जनार्दन	11	-	जनार्दन{पुं;8;एक}	जनार्दन{पुं;8;एक}	सम्बोध्यः,13.1	सम्बोध्यः,13.1	हे_जनार्दन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777777956d5e31353e07b0d	01	038-039	1	#6FFFC3	assets/graphs/01_038-039_1.svg
