anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	hindi_meaning	english_meaning	samAsa	prayoga	sarvanAma	name_classification	book	part1	part2	__v	_id	chaptno	slokano	sentno	bgcolor	graph
1.1	पश्य	9	पश्यादित्यान्वसून्रुद्रानश्विनौ	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,7.1.1	अभिहित_कर्ता,7.1.1	देख	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08707	11	006	1	#FF1975	assets/graphs/11_006_1.svg
2.1	आदित्यान्	2	-	आदित्य{पुं;2;बहु}	आदित्य{पुं;2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	आदित्यों_को_अर्थात्_अदिति_के_द्वादश_पुत्रों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08708	11	006	1	#93DB70	assets/graphs/11_006_1.svg
3.1	वसून्	3	-	वसु{पुं;2;बहु}	वसु{पुं;2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	आठ_वसुओं_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08709	11	006	1	#93DB70	assets/graphs/11_006_1.svg
4.1	रुद्रान्	4	-	रुद्र{पुं;2;बहु}	रुद्र{पुं}{2;बहु}	समुच्चितः,6.1	समुच्चितः,6.1	एकादश_रुद्रों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870a	11	006	1	#93DB70	assets/graphs/11_006_1.svg
5.1	अश्विनौ	5	-	अश्विन्{पुं;1;द्वि}/अश्विन्{पुं;2;द्वि}/अश्विन्{पुं;8;द्वि}	अश्विन्{पुं;2;द्वि}	समुच्चितः,6.1	समुच्चितः,6.1	दोनों_अश्विनीकुमारों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870b	11	006	1	#93DB70	assets/graphs/11_006_1.svg
6.1	मरुतः	7	मरुतस्तथा	मरुत्{पुं;1;बहु}/मरुत्{पुं;2;बहु}/मरुत्{पुं;5;एक}/मरुत्{पुं;6;एक}/मरुत्{पुं;8;बहु}/मरुत{पुं;1;एक}	मरुत्{पुं}{2;बहु}	कर्म,1.1	कर्म,1.1	उनचास_मरुद्गणों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870c	11	006	1	#93DB70	assets/graphs/11_006_1.svg
7.1	तथा	6	-	तथा{अव्य}	तथा{अव्य}	समुच्चय_द्योतकः,6.1	समुच्चय_द्योतकः,6.1	तथा	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870d	11	006	1	#FF99FF	assets/graphs/11_006_1.svg
7.1.1	(त्वम्)	8	-	युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,1.1	कर्ता,1.1	आप	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870e	11	006	1	#00BFFF	assets/graphs/11_006_1.svg
8.1	बहूनि	10	बहून्यदृष्टपूर्वाणि	बहु{नपुं;1;बहु}/बहु{नपुं;2;बहु}/बहु{नपुं;8;बहु}	बहु{नपुं;2;बहु}	विशेषणम्,11.1	विशेषणम्,11.1	बहुत-से	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e0870f	11	006	1	#93DB70	assets/graphs/11_006_1.svg
9.1	अ-	11.1	-	अ	अ	नञ्‌-तत्पुरुषः,9.2	नञ्‌-तत्पुरुषः,9.2	पहले_न_देखे_हुए	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08710	11	006	1	#FFFF00	assets/graphs/11_006_1.svg
9.2	दृष्ट-	11.2	-	दृष्ट	दृष्ट	कर्मधारयः,9.3	कर्मधारयः,9.3	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08711	11	006	1	#FFFF00	assets/graphs/11_006_1.svg
9.3	पूर्वाणि	11.3	-	पूर्व{नपुं;1;बहु}/पूर्व{नपुं;2;बहु}/पूर्व{नपुं;8;बहु}/पूर्व{नपुं;1;बहु}/पूर्व{नपुं;2;बहु}	पूर्व{नपुं;2;बहु}	विशेषणम्,11.1	विशेषणम्,11.1	-	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08712	11	006	1	#93DB70	assets/graphs/11_006_1.svg
10.1	पश्य	14	पश्याश्चर्याणि	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	दृश्1{कर्तरि;लोट्;म;एक;परस्मैपदी;दृशिँर्;भ्वादिः}	अभिहित_कर्ता,12.1.1;सकर्मकः.1	अभिहित_कर्ता,7.1.1;सकर्मकः.1#अभिहित_कर्ता,12.1.1;सकर्मकः.1	देख	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08713	11	006	1	#FF1975	assets/graphs/11_006_1.svg
11.1	आश्चर्याणि	12	-	आश्चर्य{नपुं;1;बहु}/आश्चर्य{नपुं;2;बहु}/आश्चर्य{नपुं;8;बहु}	आश्चर्य{नपुं;2;बहु}	कर्म,10.1	कर्म,10.1	आश्चर्यमय_रूपों_को	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08714	11	006	1	#93DB70	assets/graphs/11_006_1.svg
12.1.1	(त्वम्)	13	-	युष्मद्{सर्व;अ;1;एक}	युष्मद्{सर्व;अ;1;एक}	कर्ता,10.1	कर्ता,10.1#कर्ता,1.1	आप	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08716	11	006	1	#00BFFF	assets/graphs/11_006_1.svg
12.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं;8;एक}	सम्बोध्यः,10.1	सम्बोध्यः,10.1	हे_भरतवंशी_अर्जुन	-	-	-	-	-	श्रीमद्भगवद्गीता			0	6777780956d5e31353e08715	11	006	1	#6FFFC3	assets/graphs/11_006_1.svg
